"Part";"Value";"Device";"Package";"Description";"MPN";"OC_FARNELL";"OC_NEWARK";"PACKAGE";"SUPPLIER";
"R40";"1k";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";"";"";"";
"R41";"1k";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";"";"";"";
"R42";"1k";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";"";"";"";
"R43";"1k";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";"";"";"";
"R44";"1k";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";"";"";"";
"R45";"1k";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";"";"";"";
"R46";"1k";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";"";"";"";
"R47";"1k";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";"";"";"";
"R48";"1k";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";"";"";"";
"R49";"1k";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";"";"";"";
"R50";"17.2k";"RESISTOR0805-RES";"0805";"Resistor";"";"";"";"";"";
"R51";"10";"RESISTOR0603";"0603-RES";"Resistor";"";"";"";"";"";
"R52";"10k";"RESISTOR0603";"0603-RES";"Resistor";"";"";"";"";"";
"R53";"182k";"RESISTOR0603";"0603-RES";"Resistor";"";"";"";"";"";
"S1";"ROTSWITCH";"ROTSWITCH";"ROTSWITCH";"";"";"";"";"";"";
"S2";"ROTSWITCH";"ROTSWITCH";"ROTSWITCH";"";"";"";"";"";"";
"S3";"ROTSWITCH";"ROTSWITCH";"ROTSWITCH";"";"";"";"";"";"";
"S4";"LP4OA1PBBTG";"LP4OA1PBBTG";"LP4OA1PBBTG";"";"";"";"";"";"";
"S5";"LP4OA1PBBTG";"LP4OA1PBBTG";"LP4OA1PBBTG";"";"";"";"";"";"";
"SJ1";"SOLDERJUMPERNO";"SOLDERJUMPERNO";"SJ_2S-NO";"Solder Jumper";"";"";"";"";"";
"VCC!";"PWR";"LEDCHIPLED_0805";"CHIPLED_0805";"LED";"";"";"";"";"";
