Part,Value,Device,Package,Description,MF,MPN,OC_FARNELL,OC_NEWARK,PACKAGE,PN,PROD_ID,SUPPLIER,VALUE
U8,INA199A1DCKR,INA199A1DCKR,SOT65P210X110-6N,CURRENT SHUNT MONITOR,,INA199A1DCKR,-,74R6382,SC70-6,,,Texas Instruments,
U9,INA199A1DCKR,INA199A1DCKR,SOT65P210X110-6N,CURRENT SHUNT MONITOR,,INA199A1DCKR,-,74R6382,SC70-6,,,Texas Instruments,
T1,IPP80P03P4L04AKSA1,IPP80P03P4L04AKSA1,TO220-3,,,,,,,,,,
T2,IPP80P03P4L04AKSA1,IPP80P03P4L04AKSA1,TO220-3,,,,,,,,,,
T3,IPP80P03P4L04AKSA1,IPP80P03P4L04AKSA1,TO220-3,,,,,,,,,,
T4,IPP80P03P4L04AKSA1,IPP80P03P4L04AKSA1,TO220-3,,,,,,,,,,
T5,IRF40B207,IRF40B207,TO220-3,N Channel Power Mosfet,,,,,,,,,
T6,IRF40B207,IRF40B207,TO220-3,N Channel Power Mosfet,,,,,,,,,
T10,IRLML6401TRPBF,IRLML6401TRPBF,SOT95P237X112-3N,,,,,,,,,,
T11,IRLML6401TRPBF,IRLML6401TRPBF,SOT95P237X112-3N,,,,,,,,,,
T12,IRLML6401TRPBF,IRLML6401TRPBF,SOT95P237X112-3N,,,,,,,,,,
T9,IRLML6401TRPBF,IRLML6401TRPBF,SOT95P237X112-3N,,,,,,,,,,
U5,KA378R05TU,KA378R05TU,TO-220-4,"5V 3A LDO,",,,,,,,,,
PC1,MCP73826,MCP73826,SOT23-6,,,,,,,,,,
PC2,MCP73826,MCP73826,SOT23-6,,,,,,,,,,
U10,MIC4416YM4-TR,MIC4416YM4-TR,4-SOT_143,Gate Driver,,,,,,,,,
U4,MIC4416YM4-TR,MIC4416YM4-TR,4-SOT_143,Gate Driver,,,,,,,,,
X1,MINI-USB-UX60-MB-5S8,MINI-USB-UX60-MB-5S8,UX60-MB-5S8,MINI USB Connector,,,unknown,unknown,,,,,
H1,MOUNT-PAD-ROUND,MOUNT-PAD-ROUND,032-PAD,"MOUNTING PAD, round",,,,,,,,,
H2,MOUNT-PAD-ROUND,MOUNT-PAD-ROUND,032-PAD,"MOUNTING PAD, round",,,,,,,,,
H3,MOUNT-PAD-ROUND,MOUNT-PAD-ROUND,032-PAD,"MOUNTING PAD, round",,,,,,,,,
H4,MOUNT-PAD-ROUND,MOUNT-PAD-ROUND,032-PAD,"MOUNTING PAD, round",,,,,,,,,
H5,MOUNT-PAD-ROUND,MOUNT-PAD-ROUND,032-PAD,"MOUNTING PAD, round",,,,,,,,,
H6,MOUNT-PAD-ROUND,MOUNT-PAD-ROUND,032-PAD,"MOUNTING PAD, round",,,,,,,,,
H7,MOUNT-PAD-ROUND,MOUNT-PAD-ROUND,032-PAD,"MOUNTING PAD, round",,,,,,,,,
H8,MOUNT-PAD-ROUND,MOUNT-PAD-ROUND,032-PAD,"MOUNTING PAD, round",,,,,,,,,
F1,PTC_FUSE,PTC_FUSE,RGEF1100,Polyfuse Resettable PTC,,,,,,,,,
F2,PTC_FUSE,PTC_FUSE,RGEF1100,Polyfuse Resettable PTC,,,,,,,,,
F4,PTC_FUSE,PTC_FUSE,RGEF1100,Polyfuse Resettable PTC,,,,,,,,,
F5,PTC_FUSE,PTC_FUSE,RGEF1100,Polyfuse Resettable PTC,,,,,,,,,
LED2,RX,LEDCHIPLED_0805,CHIPLED_0805,LED,,,,,,,,,
T7,STD28P3LLH6AG,STD28P3LLH6AG,D2-PAK,,,,,,,,,,
T8,STD28P3LLH6AG,STD28P3LLH6AG,D2-PAK,,,,,,,,,,
LED3,TX,LEDCHIPLED_0805,CHIPLED_0805,LED,,,,,,,,,
